Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
82.0,God Eater Resurrection,2015,Action,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2
83.0,Odin Sphere: Leifthrasir,2016,Role-Playing,NIS America,0.05,0.02,0.1,0.02,0.19
84.0,New Danganronpa V3: Minna no Koroshiai Shin Gakki,2017,Adventure,NIS America,0.02,0.01,0.15,0.01,0.19
85.0,Phantasy Star Nova,2014,Misc,Sega,0.0,0.0,0.19,0.0,0.19
86.0,LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,0.03,0.12,0.0,0.04,0.19
87.0,3rd Super Robot Wars Z Jigoku Hen,2014,Misc,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19
88.0,Tokyo Xanadu,2015,Role-Playing,Aksys Games,0.02,0.0,0.16,0.01,0.19
89.0,Valhalla Knights 3,2013,Misc,Xseed Games,0.04,0.01,0.12,0.02,0.18
90.0,Ridge Racer,2011,Racing,Namco Bandai,0.03,0.08,0.05,0.02,0.18
91.0,Conception II: Shichisei no Michibiki to Mazuru no Akumu,2013,Misc,Screenlife,0.11,0.0,0.04,0.04,0.18
92.0,Digimon Story: Cyber Sleuth,2015,Role-Playing,Namco Bandai Games,0.0,0.0,0.18,0.0,0.18
93.0,Mobile Suit Gundam: Extreme VS Force,2015,Action,Namco Bandai Games,0.0,0.0,0.18,0.0,0.18
94.0,Hatsune Miku: Project Diva X,2016,Misc,Sega,0.05,0.0,0.12,0.02,0.18
95.0,One Piece: Pirate Warriors 3,2015,Action,Namco Bandai Games,0.0,0.03,0.14,0.01,0.18
96.0,Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.02,0.1,0.02,0.03,0.18
97.0,Super Dangan-Ronpa 2: Sayonara Zetsubou Gakuen,2014,Adventure,NIS America,0.08,0.05,0.0,0.04,0.18
98.0,Demon Gaze,2013,Misc,NIS America,0.04,0.03,0.09,0.02,0.17
99.0,Valkyrie Drive: Bhikkhuni,2015,Action,PQube,0.0,0.05,0.11,0.01,0.17
100.0,Phantasy Star Online 2,2013,Misc,Sega,0.0,0.0,0.17,0.0,0.17
101.0,Akiba's Trip 2,2013,Misc,NIS America,0.04,0.02,0.08,0.02,0.16
102.0,Rayman Legends,2014,Platform,Ubisoft,0.01,0.12,0.0,0.03,0.16
103.0,Legends of Chima: Laval's Journey,2013,Misc,Warner Bros. Interactive Entertainment,0.01,0.11,0.0,0.04,0.16
104.0,Yomawari,2015,Adventure,NIS America,0.05,0.02,0.07,0.02,0.16
105.0,Disgaea 4: A Promise Unforgotten,2014,Misc,NIS America,0.03,0.03,0.08,0.02,0.16
106.0,Shinobido 2,2011,Action,Spike,0.05,0.06,0.02,0.03,0.16
107.0,LEGO The Hobbit,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.02,0.1,0.0,0.03,0.16
108.0,Gundam Breaker 2,2014,Action,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16
109.0,Chou Megami Shinkou Noire Gekishin Black Heart,2014,Misc,Idea Factory,0.06,0.01,0.06,0.02,0.15
110.0,Over My Dead Body 2,2014,Misc,Sony Computer Entertainment,0.0,0.0,0.15,0.0,0.15
